id,sex,age,comorbidities,medication,condition,analysis_type,method_or_model,handcrafted_unit,level,balance
231,ALL,13-18,ALL,ALL,EO,embedding,cbramod,N/A,subject,balanced
232,ALL,13-18,ALL,ALL,EC,embedding,cbramod,N/A,subject,balanced
233,ALL,13-18,ALL,ALL,EO,embedding,reve,N/A,subject,balanced
234,ALL,13-18,ALL,ALL,EC,embedding,reve,N/A,subject,balanced
235,ALL,13-18,ALL,ALL,EO,embedding,biot,N/A,subject,balanced
236,ALL,13-18,ALL,ALL,EC,embedding,biot,N/A,subject,balanced
237,ALL,13-18,ALL,ALL,EO,embedding,labram,N/A,subject,balanced
238,ALL,13-18,ALL,ALL,EC,embedding,labram,N/A,subject,balanced
239,ALL,13-18,ALL,ALL,EO,embedding,luna,N/A,subject,balanced
240,ALL,13-18,ALL,ALL,EC,embedding,luna,N/A,subject,balanced
241,ALL,13-18,ALL,ALL,EO,embedding,signaljepa,N/A,subject,balanced
242,ALL,13-18,ALL,ALL,EC,embedding,signaljepa,N/A,subject,balanced
243,ALL,13-18,ALL,ALL,EO,embedding,bendr,N/A,subject,balanced
244,ALL,13-18,ALL,ALL,EC,embedding,bendr,N/A,subject,balanced
245,ALL,13-18,ALL,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
246,ALL,13-18,ALL,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
247,ALL,13-18,ALL,ALL,EO,fine_tune,reve,N/A,subject,balanced
248,ALL,13-18,ALL,ALL,EC,fine_tune,reve,N/A,subject,balanced
249,ALL,13-18,ALL,ALL,EO,fine_tune,biot,N/A,subject,balanced
250,ALL,13-18,ALL,ALL,EC,fine_tune,biot,N/A,subject,balanced
251,ALL,13-18,ALL,ALL,EO,fine_tune,labram,N/A,subject,balanced
252,ALL,13-18,ALL,ALL,EC,fine_tune,labram,N/A,subject,balanced
253,ALL,13-18,ALL,ALL,EO,fine_tune,luna,N/A,subject,balanced
254,ALL,13-18,ALL,ALL,EC,fine_tune,luna,N/A,subject,balanced
255,ALL,13-18,ALL,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
256,ALL,13-18,ALL,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
257,ALL,13-18,ALL,ALL,EO,fine_tune,bendr,N/A,subject,balanced
258,ALL,13-18,ALL,ALL,EC,fine_tune,bendr,N/A,subject,balanced
259,ALL,ALL,none,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
260,ALL,ALL,none,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
261,ALL,ALL,none,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
262,ALL,ALL,none,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
263,ALL,ALL,none,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
264,ALL,ALL,none,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
265,ALL,ALL,none,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
266,ALL,ALL,none,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
267,ALL,ALL,none,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
268,ALL,ALL,none,ALL,EO,embedding,cbramod,N/A,subject,balanced
269,ALL,ALL,none,ALL,EC,embedding,cbramod,N/A,subject,balanced
270,ALL,ALL,none,ALL,EO,embedding,reve,N/A,subject,balanced
271,ALL,ALL,none,ALL,EC,embedding,reve,N/A,subject,balanced
272,ALL,ALL,none,ALL,EO,embedding,biot,N/A,subject,balanced
273,ALL,ALL,none,ALL,EC,embedding,biot,N/A,subject,balanced
274,ALL,ALL,none,ALL,EO,embedding,labram,N/A,subject,balanced
275,ALL,ALL,none,ALL,EC,embedding,labram,N/A,subject,balanced
276,ALL,ALL,none,ALL,EO,embedding,luna,N/A,subject,balanced
277,ALL,ALL,none,ALL,EC,embedding,luna,N/A,subject,balanced
278,ALL,ALL,none,ALL,EO,embedding,signaljepa,N/A,subject,balanced
279,ALL,ALL,none,ALL,EC,embedding,signaljepa,N/A,subject,balanced
280,ALL,ALL,none,ALL,EO,embedding,bendr,N/A,subject,balanced
281,ALL,ALL,none,ALL,EC,embedding,bendr,N/A,subject,balanced
282,ALL,ALL,none,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
283,ALL,ALL,none,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
284,ALL,ALL,none,ALL,EO,fine_tune,reve,N/A,subject,balanced
285,ALL,ALL,none,ALL,EC,fine_tune,reve,N/A,subject,balanced
286,ALL,ALL,none,ALL,EO,fine_tune,biot,N/A,subject,balanced
287,ALL,ALL,none,ALL,EC,fine_tune,biot,N/A,subject,balanced
288,ALL,ALL,none,ALL,EO,fine_tune,labram,N/A,subject,balanced
